Borough Name,Job Type,BIN Number,Date,Estimated Job Cost,Latitude Point,Longitude Point,House Number,Street Name
Bronx,A2,2051355,10/20/2016,55400,40.86518097,-73.8658905,724,ALLERTON AVENUE
Queens,A2,4072034,10/20/2016,112750,40.73118973,-73.86641693,93-08,QUEENS BOULEVARD
Bronx,A2,2013582,10/20/2016,120000,40.85903931,-73.89755249,261,EAST 184 STREET
Queens,A2,4075017,10/20/2016,124180,40.72277832,-73.85473633,67-41,BURNS STREET
Manhattan,A2,1034092,10/20/2016,159000,40.79238892,-73.9768219,187,RIVERSIDE DRIVE
Manhattan,A2,1007618,10/20/2016,194958,40.72399139,-73.99944305,115,MERCER STREET
Staten Island,A2,5015141,10/20/2016,272900,40.62717056,-74.09076691,622,VICTORY BOULEVARD
Queens,A3,4036800,10/21/2016,24200,40.74608994,-73.88820648,40-37,77 STREET
Brooklyn,A2,3036476,10/21/2016,375000,40.67197037,-73.93585968,1287,STERLING PLACE
Queens,A2,4000702,10/21/2016,500000,40.74496841,-73.94355011,45-45,PEARSON STREET
Manhattan,A2,1048276,10/21/2016,616000,40.78263855,-73.95362091,1372,LEXINGTON AVENUE
Bronx,A2,2013614,10/21/2016,824000,40.86243057,-73.8953476,237,EAST FORDHAM ROAD
Manhattan,A2,1077853,10/21/2016,4200000,40.77368927,-73.95860291,170,EAST   78 STREET
Queens,A1,4000740,10/22/2016,30000000,40.74308014,-73.94129944,47-37,AUSTELL PLACE
Manhattan,A2,1033820,10/24/2016,10400,40.78718185,-73.97944641,481,WEST END AVENUE
Manhattan,A2,1009799,10/24/2016,31000,40.73075104,-74.00475311,30,MORTON STREET
Queens,A1,4003092,10/24/2016,56000,40.73754883,-73.92772675,50-26,39 STREET
Manhattan,A2,1017588,10/24/2016,466000,40.75123978,-73.98088074,266,MADISON AVENUE
Manhattan,A2,1003285,10/24/2016,616350,40.71244049,-73.99411774,121,MADISON STREET
Manhattan,A2,1032677,10/24/2016,711000,40.78570175,-73.97971344,440,WEST END AVENUE
Queens,A2,4462921,10/25/2016,7500,40.58306885,-73.81926727,98-16,SHORE FRONT PARKWAY
Manhattan,A2,1006112,10/25/2016,9500,40.72418976,-73.9901886,34,EAST 1 STREET
Brooklyn,A2,3245024,10/25/2016,55000,40.57574844,-73.96793365,3101,OCEAN PARKWAY
Manhattan,A2,1014300,10/25/2016,95000,40.74884033,-73.99391174,224,WEST 30 STREET
Manhattan,A2,1015610,10/25/2016,150000,40.74372864,-73.99138641,48,WEST 25 STREET
Manhattan,A2,1009492,10/26/2016,8490,40.73374176,-73.99746704,35,WEST 9 STREET
Manhattan,A2,1013885,10/26/2016,15000,40.74208832,-73.99906921,232,WEST 19 STREET
Bronx,A2,2011826,10/26/2016,80000,40.84692001,-73.89483643,551,EAST TREMONT AVENUE
Manhattan,A2,1017596,10/26/2016,224929,40.75104141,-73.97963715,28,EAST 40 STREET
Brooklyn,A2,3020410,10/27/2016,32000,40.67501831,-73.98179626,258,5 AVENUE
Brooklyn,A2,3020409,10/27/2016,54000,40.67507172,-73.98177338,256,   5 AVENUE
Manhattan,A2,1031707,10/27/2016,94765,40.792099,-73.96720123,63,WEST 95 STREET
Brooklyn,A2,3322578,10/27/2016,152000,40.67753983,-73.96961212,212,PROSPECT PLACE
Queens,A2,4191831,10/27/2016,260500,40.70082092,-73.84142303,84-06,109 STREET
Brooklyn,A2,3020408,10/27/2016,272000,40.67512131,-73.98171997,254,5 AVENUE
Manhattan,A2,1043910,10/27/2016,290610,40.7675705,-73.96011353,226,EAST 70 STREET
Bronx,A2,2096719,10/27/2016,314440,40.8386116,-73.85652161,1540,UNIONPORT ROAD
Brooklyn,A1,3076600,10/27/2016,699868,40.69244003,-73.91719055,133,WOODBINE STREET
Manhattan,A2,1044837,10/28/2016,25320,40.76729965,-73.95826721,309,EAST 70 STREET
Queens,A2,4436676,10/28/2016,80000,40.74477005,-73.92568207,39-03,QUEENS BLVD
Manhattan,A2,1026949,10/28/2016,481056,40.76266861,-73.99536896,536,WEST 46 STREET
Brooklyn,A3,3156526,10/29/2016,11000,40.62274933,-74.00335693,1335,  70 STREET
Manhattan,A2,1048402,10/31/2016,55000,40.78411102,-73.95140076,152,EAST 94 STREET
Manhattan,A2,1040468,10/31/2016,62712,40.75725937,-73.96199036,423,EAST 56 STREET
Queens,A2,4120496,10/31/2016,65522,40.76073837,-73.8024292,163-20,NORTHERN BOULEVARD
Manhattan,A2,1057257,10/31/2016,70000,40.80239105,-73.96964264,340,RIVERSIDE DRIVE
Manhattan,A2,1007373,10/31/2016,75000,40.72515869,-74.00372314,204,SPRING STREET
Bronx,A2,2000683,10/31/2016,93650,40.80664063,-73.92832184,26,BRUCKNER BOULEVARD
Manhattan,A2,1041904,10/31/2016,2469000,40.7621994,-73.96717072,990,3 AVENUE
